iso3c,year,e_gdppc
ZAF,2020,NA
ZAF,2021,NA
JPN,1980,21.153
JPN,1981,21.618
JPN,1982,21.854
JPN,1983,22.11
JPN,1984,22.552
JPN,1985,23.234
JPN,1986,24.283
JPN,1987,25.47
JPN,1988,27.026
JPN,1989,28.487
JPN,1990,30.095
JPN,1991,31.338
JPN,1992,31.956
JPN,1993,32.323
JPN,1994,32.897
JPN,1995,33.692
JPN,1996,34.483
JPN,1997,34.803
JPN,1998,34.715
JPN,1999,34.734
JPN,2000,35.141
JPN,2001,35.263
JPN,2002,35.437
JPN,2003,35.837
JPN,2004,36.325
JPN,2005,36.684
JPN,2006,37.068
JPN,2007,37.27
JPN,2008,36.766
JPN,2009,35.875
JPN,2010,36.421
JPN,2011,36.294
JPN,2012,36.698
JPN,2013,37.207
JPN,2014,37.546
JPN,2015,38.057
JPN,2016,38.367
JPN,2017,38.83
JPN,2018,39.001
JPN,2019,39.06
JPN,2020,NA
JPN,2021,NA
MMR,1980,0.98
MMR,1981,1.015
MMR,1982,1.059
MMR,1983,1.088
MMR,1984,1.101
MMR,1985,1.099
MMR,1986,1.068
MMR,1987,1.012
MMR,1988,0.947
MMR,1989,0.927
MMR,1990,0.902
MMR,1991,0.903
MMR,1992,0.947
MMR,1993,0.998
MMR,1994,1.048
MMR,1995,1.098
MMR,1996,1.142
MMR,1997,1.186
MMR,1998,1.246
MMR,1999,1.334
MMR,2000,1.445
MMR,2001,1.579
MMR,2002,1.733
MMR,2003,1.938
MMR,2004,2.149
MMR,2005,2.395
MMR,2006,2.667
MMR,2007,2.932
MMR,2008,3.186
MMR,2009,3.475
MMR,2010,3.754
MMR,2011,3.991
MMR,2012,4.139
MMR,2013,4.524
MMR,2014,4.84
MMR,2015,5.074
MMR,2016,5.249
MMR,2017,5.39
MMR,2018,5.619
MMR,2019,5.693
MMR,2020,NA
MMR,2021,NA
RUS,1980,15.73
RUS,1981,15.793
RUS,1982,15.967
RUS,1983,16.338
RUS,1984,16.479
RUS,1985,16.755
RUS,1986,17.056
RUS,1987,17.26
RUS,1988,17.314
RUS,1989,17.212
RUS,1990,16.778
RUS,1991,16.345
RUS,1992,15.199
RUS,1993,13.8
RUS,1994,12.262
RUS,1995,11.531
RUS,1996,11.018
RUS,1997,10.875
RUS,1998,10.723
RUS,1999,11.189
RUS,2000,12.168
RUS,2001,12.862
RUS,2002,13.617
RUS,2003,14.698
RUS,2004,15.939
RUS,2005,17.408
RUS,2006,19.079
RUS,2007,20.807
RUS,2008,21.815
RUS,2009,21.602
RUS,2010,22.508
RUS,2011,23.788
RUS,2012,24.512
RUS,2013,24.842
RUS,2014,24.785
RUS,2015,24.398
RUS,2016,24.392
RUS,2017,24.865
RUS,2018,25.521
RUS,2019,25.606
RUS,2020,NA
RUS,2021,NA
ALB,1980,3.921
ALB,1981,3.974
ALB,1982,3.986
ALB,1983,4.01
ALB,1984,3.996
ALB,1985,3.981
ALB,1986,4.037
ALB,1987,4.03
ALB,1988,4.011
ALB,1989,4.021
ALB,1990,3.808
ALB,1991,3.215
ALB,1992,2.982
ALB,1993,3.167
ALB,1994,3.459
ALB,1995,3.769
ALB,1996,4.007
ALB,1997,3.912
ALB,1998,4.144
ALB,1999,4.523
ALB,2000,4.839
ALB,2001,5.237
ALB,2002,5.567
ALB,2003,5.922
ALB,2004,6.262
ALB,2005,6.668
ALB,2006,7.131
ALB,2007,7.655
ALB,2008,8.208
ALB,2009,8.679
ALB,2010,9.033
ALB,2011,9.26
ALB,2012,9.442
ALB,2013,9.58
ALB,2014,9.766
ALB,2015,10.041
ALB,2016,10.322
ALB,2017,10.684
ALB,2018,11.081
ALB,2019,11.275
ALB,2020,NA
ALB,2021,NA
EGY,1980,2.42
EGY,1981,2.549
EGY,1982,2.676
EGY,1983,2.846
EGY,1984,2.997
EGY,1985,3.11
EGY,1986,3.161
EGY,1987,3.191
EGY,1988,3.255
EGY,1989,3.352
EGY,1990,3.498
EGY,1991,3.647
EGY,1992,3.789
EGY,1993,3.967
EGY,1994,4.145
EGY,1995,4.361
EGY,1996,4.631
EGY,1997,4.82
EGY,1998,4.957
EGY,1999,5.119
EGY,2000,5.265
EGY,2001,5.413
EGY,2002,5.503
EGY,2003,5.594
EGY,2004,5.699
EGY,2005,5.904
EGY,2006,6.19
EGY,2007,6.574
EGY,2008,7.029
EGY,2009,7.395
EGY,2010,7.768
EGY,2011,8.008
EGY,2012,8.173
EGY,2013,8.222
EGY,2014,8.269
EGY,2015,8.362
EGY,2016,8.419
EGY,2017,8.458
EGY,2018,8.543
EGY,2019,8.564
EGY,2020,NA
EGY,2021,NA
NA,1980,3.114
NA,1981,3.168
NA,1982,3.178
NA,1983,3.174
NA,1984,3.147
NA,1985,3.052
NA,1986,2.949
NA,1987,2.774
NA,1988,2.45
NA,1989,1.904
YEM,1990,1.819
YEM,1991,1.785
YEM,1992,1.776
YEM,1993,1.778
YEM,1994,1.8
YEM,1995,1.876
YEM,1996,1.985
YEM,1997,2.07
YEM,1998,2.168
YEM,1999,2.248
YEM,2000,2.362
YEM,2001,2.479
YEM,2002,2.615
YEM,2003,2.778
YEM,2004,2.995
YEM,2005,3.253
YEM,2006,3.354
YEM,2007,3.434
YEM,2008,3.499
YEM,2009,3.563
YEM,2010,3.59
YEM,2011,3.328
YEM,2012,3.164
YEM,2013,3.046
YEM,2014,2.751
YEM,2015,2.176
YEM,2016,1.828
YEM,2017,1.591
YEM,2018,1.539
YEM,2019,1.49
YEM,2020,NA
YEM,2021,NA
COL,1980,7.095
COL,1981,7.099
COL,1982,7.036
COL,1983,6.985
COL,1984,7.021
COL,1985,7.071
COL,1986,7.284
COL,1987,7.394
COL,1988,7.506
COL,1989,7.623
COL,1990,7.745
COL,1991,7.858
COL,1992,8.044
COL,1993,8.257
COL,1994,8.535
COL,1995,8.727
COL,1996,8.807
COL,1997,8.851
COL,1998,8.695
COL,1999,8.411
COL,2000,8.43
COL,2001,8.405
COL,2002,8.468
COL,2003,8.705
COL,2004,8.961
COL,2005,9.315
COL,2006,9.784
COL,2007,10.227
COL,2008,10.69
COL,2009,10.887
COL,2010,11.331
COL,2011,11.945
COL,2012,12.278
COL,2013,12.688
COL,2014,12.98
COL,2015,13.22
COL,2016,13.341
COL,2017,13.489
COL,2018,13.538
COL,2019,13.656
COL,2020,NA
COL,2021,NA
POL,1980,8.247
POL,1981,7.918
POL,1982,7.812
POL,1983,8.045
POL,1984,8.389
POL,1985,8.662
POL,1986,8.947
POL,1987,9.056
POL,1988,9.235
POL,1989,9.222
POL,1990,8.776
POL,1991,8.477
POL,1992,8.622
POL,1993,9.023
POL,1994,9.522
POL,1995,10.217
POL,1996,10.837
POL,1997,11.513
POL,1998,12.147
POL,1999,12.676
POL,2000,13.161
POL,2001,13.507
POL,2002,13.992
POL,2003,14.379
POL,2004,15.051
POL,2005,15.596
POL,2006,16.498
POL,2007,17.539
POL,2008,18.547
POL,2009,19.271
POL,2010,20.14
POL,2011,20.963
POL,2012,21.412
POL,2013,21.906
POL,2014,22.658
POL,2015,23.491
POL,2016,24.447
POL,2017,25.642
POL,2018,26.635
POL,2019,27.28
POL,2020,NA
POL,2021,NA
BRA,1980,6.898
BRA,1981,6.777
BRA,1982,6.698
BRA,1983,6.582
BRA,1984,6.701
BRA,1985,6.959
BRA,1986,7.303
BRA,1987,7.453
BRA,1988,7.442
BRA,1989,7.387
BRA,1990,7.285
BRA,1991,7.347
BRA,1992,7.423
BRA,1993,7.686
BRA,1994,8.085
BRA,1995,8.514
BRA,1996,8.899
BRA,1997,8.988
BRA,1998,8.919
BRA,1999,8.773
BRA,2000,8.874
BRA,2001,8.822
